"","0","1","2","3","4"
"0","","Inzidenzstufe 0 
(höchstens 10)","Inzidenzstufe 1 
(von 10,1 bis 35)","Inzidenzstufe 2 
(von 35,1 bis 50)","Inzidenzstufe 3 
(über 50)"
"1","Städteregion Aachen","","X","",""
"2","Bielefeld","X","","",""
"3","Bochum","X","X (voraussichtlich 
ab 27.07.)**","",""
"4","Bonn","X","","",""
"5","Borken","","X","",""
"6","Bottrop","X","","",""
"7","Coesfeld","X","","",""
"8","Dortmund","X","","",""
"9","Duisburg","X","","",""
"10","Düren","","X","",""
"11","Düsseldorf","","X","X (voraussichtlich ab 
27.07.)**",""
"12","Ennepe-Ruhr-Kreis","X","","",""
"13","Essen","X","","",""
"14","Euskirchen","X","","",""
"15","Gelsenkirchen","X","","",""
"16","Gütersloh","X","","",""
"17","Hagen","X","X (voraussichtlich 
ab 27.07.)**","",""
"18","Hamm","","X","",""
"19","Heinsberg","X","","",""
"20","Herford","X","","",""
"21","Herne","X","","",""
"22","Hochsauerlandkreis","X","","",""
"23","Höxter","X","X (ab 26.07.)","",""
"24","Kleve","X","X (ab 25.07.)","",""
"25","Köln","","X","",""
"26","Krefeld","","X","",""
"27","Leverkusen","","X","",""
"28","Lippe","X","","",""
"29","Märkischer Kreis","X","","",""
"30","Mettmann","X","X (voraussichtlich 
ab 27.07.)**","",""
"31","Minden-Lübbecke","","X","",""
"32","Mönchengladbach","X","","",""
"33","Mülheim an der Ruhr","X","","",""
"34","Münster","","X","",""
"35","Oberbergischer Kreis","","X","",""
"36","Oberhausen","","X","",""
"0","Olpe","X","","",""
"1","Paderborn","X","","",""
"2","Recklinghausen","X","X (voraussichtlich 
ab 27.07.)**","",""
"3","Remscheid","X","","",""
"4","Rhein-Erft-Kreis","X","","",""
"5","Rheinisch-Bergischer Kreis","X","","",""
"6","Rhein-Kreis Neuss","","X","",""
"7","Rhein-Sieg-Kreis","X","","",""
"8","Siegen-Wittgenstein","X","","",""
"9","Soest","X","","",""
"10","Solingen","","X","X (ab 25.07.)","X (ab 26.07.)"
"11","Steinfurt","X","","",""
"12","Unna","X","","",""
"13","Viersen","X","","",""
"14","Warendorf","X","","",""
"15","Wesel","X","","",""
"16","Wuppertal","X","","",""
"17","gesamt (tagesaktuell)","39","14","0","0"
